recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
137743706,"{'steamid': '76561197998552188', 'num_games_owned': 278, 'num_reviews': 15, 'playtime_forever': 2795, 'playtime_last_two_weeks': 19, 'playtime_at_review': 2702, 'last_played': 1684333619}",english,"Host your own PvE server, remove Castle Decay and Teleport Restrictions, halve the farm needed from items, and reduce the waiting time for crafting items.
These changes turns it into a whole different, actually fun, game!",1683139130,1683139130,True,1116,20,0.945910215377807617,0,True,False,True,True,
137871192,"{'steamid': '76561198073029923', 'num_games_owned': 673, 'num_reviews': 7, 'playtime_forever': 5168, 'playtime_last_two_weeks': 373, 'playtime_at_review': 4795, 'last_played': 1684460539}",english,"Diablo.
Valheim.
Vampires.

Yes please.",1683363338,1683363338,True,88,4,0.748033761978149414,0,True,False,True,True,
137771645,"{'steamid': '76561198030752858', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 2650, 'playtime_last_two_weeks': 2000, 'playtime_at_review': 325, 'last_played': 1684547813}",english,"As far as vampire games go, its not vlad! Bleh!",1683196843,1683196843,True,67,120,0.72969430685043335,0,True,False,True,True,
138204473,"{'steamid': '76561198052274962', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 9336, 'playtime_last_two_weeks': 238, 'playtime_at_review': 9098, 'last_played': 1684540266}",english,"Incredible game. My wife and I get lost in this for days at a time. Awesome experience. Highly recommend.

Don't have any gripes, but wish list would be:
- Controller Support
- PvE NPC raids on your castles lead by V blood units.
- More polished UI and scaling settings.

Already getting the multi-floor castles in Gloomrot update so that solves one of my wishlist items.",1683926359,1683926359,True,30,0,0.707541882991790771,0,True,False,True,True,
138449287,"{'steamid': '76561198053997827', 'num_games_owned': 143, 'num_reviews': 5, 'playtime_forever': 11436, 'playtime_last_two_weeks': 491, 'playtime_at_review': 10945, 'last_played': 1684472938}",english,"Don't believe the idiots whining about paid DLC's. I know reading can be realy hard sometimes... but the only paid content is cosmetic and does not a make a single difference what so ever. So, if you are not a child that can't stand anyone having a toy that you don't, you can go ahead and completely ignore the ego trip.

This game was amazing when it was first released. Despite no longer being the latest band wagon to blindly jump on for the sake of feeling trendy and relevant; the devs actually decided to give us more. No looking at a made up road map for years, wishing game companies didn't make promises like politicians. No pushing back release dates while making up ridiculous excuses we have all heard before. Just FREE CONTENT. You know, that stuff people used to play games for? Before they were completely conned in to thinking imaginary cosmetic loot was something they need?

If you want to play a super fun game with friends that has done an amazing job taking care of their customer base, this is a real contender. Play it. Or better yet, buy the cosmetics just so you can make some kid cry more in these steam reviews.",1684350684,1684350684,True,39,3,0.641127407550811768,0,True,False,True,True,
138463478,"{'steamid': '76561197983542721', 'num_games_owned': 0, 'num_reviews': 13, 'playtime_forever': 31, 'playtime_last_two_weeks': 31, 'playtime_at_review': 30, 'last_played': 1684407345}",english,To all the people complaining about the server wipe... guys this was mentioned months ago. Hence why I JUST bought the game because I was waiting until after the wipe. The lack of braincells in the reviews was unnerving so I had to post this lmao,1684373845,1684373845,True,47,9,0.626415789127349854,0,True,False,True,True,
138026078,"{'steamid': '76561197992193919', 'num_games_owned': 1192, 'num_reviews': 235, 'playtime_forever': 110, 'playtime_last_two_weeks': 62, 'playtime_at_review': 48, 'last_played': 1684442471}",english,Make GPU very spicy hot but very fun,1683594830,1683594830,True,19,16,0.61506497859954834,0,True,False,True,True,
137054281,"{'steamid': '76561198064393584', 'num_games_owned': 0, 'num_reviews': 4, 'playtime_forever': 18619, 'playtime_last_two_weeks': 782, 'playtime_at_review': 17654, 'last_played': 1684484654}",english,"I have spent a bit of time sucking blood in this game. V-Rising is a aesthetically stunning game that puts you in the cold flesh of a vampire that must explore the world, craft items, build a castle and slaughter masses to become the most powerful predator in the land.
The game offers a good mix of game play mechanics and immersive environments/ biomes. The game starts of with a basic tutorial giving you the tools you need for basic survival. The game is easy to pick up and learn but it can be difficult to master.
The game is quite absent of a story but the stronger enemies or 'V-Bloods' have interesting information about them that makes slaying them so much more satisfactory.
The game is filled with dangers, beautiful environments, fantasy beasts, in depth crafting options, day and night cycle and more.
If you jump onto a PVP server, prepare to fight players who can be deceptive and down right evil, playing right into the most powerful vampire lord on the server. This may put a few people off the game, but you can also make great friends and allies, band together, then raid the crap out of the enemy.
Most of the player base is waiting for the next content drop which should be soon. This game has so much potential and hopefully the developers will continue to add more and more.

I give the game a 8 out of 10.",1682084748,1682084748,True,12,1,0.602554440498352051,0,True,False,True,True,
138462001,"{'steamid': '76561198052974531', 'num_games_owned': 0, 'num_reviews': 29, 'playtime_forever': 421, 'playtime_last_two_weeks': 338, 'playtime_at_review': 89, 'last_played': 1684548595}",english,"Still going with a thumbs up since this isn't a complaint that would apply to most players (and from what I've seen so far the game is very good)...

As a fairweather gaming content creator, and someone very excited about this title rolling into release sometime soon, I was looking forward to doing some videos about this title on youtube.  However, the EULA is super one-sided regarding their right to simply crash a creator's channel with zero accountability, and this is absolutely unacceptable!  I hope Stunlock reverses course on this decision and are public enough about their reversal that I notice without another scouring of their EULA.  Plus they want a lengthy disclaimer at the beginning of every video?  I don't think I can remember any other studios asking for this much control over what amounts to free advertising.

I'll still play, but no way I'm spending time making videos for V Rising.  Too bad, the game is beautiful and would be a winner for a passionate channel if it wasn't for the greedy EULA.",1684371053,1684371053,True,7,1,0.56724315881729126,0,True,False,True,True,
138419254,"{'steamid': '76561198166465907', 'num_games_owned': 221, 'num_reviews': 2, 'playtime_forever': 15224, 'playtime_last_two_weeks': 1177, 'playtime_at_review': 14586, 'last_played': 1684475814}",english,"(OPEN THE THREAD TO SEE THE FULL REVIEW]

I was hesitant to delve into the V-Rising world as Battlerite is one of my all time favorite video games, and seeing how that was ultimately serviced, I was hesitant to pick up another SLS title. I will section this review off so you may skip around as you please.

Gameplay: 

From the moment I booted up the game, I could tell that SLS was serious about maintaining the aesthetic of their combat system throughout their titles, including V Rising. The combat in the vanilla game, and at the time of this review, more so in the Gloomrot beta, the combat feels clean, and very smooth. The interactions that you have with your abilities, as well as your combo potential all feel very natural and fluid. Pairing this with their WASD movement preference, and generous key-mapping options, the player is ultimately left feeling very comfortable, allowing for them to quickly start mastering the combat system. 

The depth of the combat, like BLC (Bloodline Champions), and Battlerite, has an incredibly high skill ceiling. Between learning your loadout rotations, mastering cancels, improving your aim, honing your CD temperament, and more, you will be left feeling satisfied for what feels like ever. And that is the absolute highest compliment I can give this game. It doesn't matter how good you are mechanically, or strategically, the game is rich and complex enough to offer anyone a challenge.

The day/night cycle is a nice addition to an open world survival game. Often times keeping the player on their toes, and keeping them aware of the time. I think I speak for every player when I say you can FEEL THE HEAT. The sun doesn't discriminate. If you're not pathing carefully, and staying alert, you will be crushed by the sun. The game is often times very fair with the sun placement, with the exception of a few areas feeling like genuine day-time traps. But given the design philosophy, you know, vampires and all, that seems fair. 
The addition of the sun can also impact combat, in both a fun, and sometimes frustrating way. It can be difficult to ascertain whether or not a boss or pack of mobs is doable given movement restrictions in some areas due to the sun. But often times, skilled players can maneuver with the shade, adapting quickly to complex situations regarding movement, which ultimately makes it fun in my opinion.

(Protip: use bat form during the day, the bat is invulnerable to the sun!)

The blood system was another unique component that I really enjoyed. At the start, you are running on frailed blood, which gives no added bonuses to the player, however, as you progress you can feed on NPCs allowing for you to acquire more refined blood. The blood has different types that grant the player different advantages. Among the different types, there are also different qualities of those types. With this system, the player can have tons of fun taking blood from the vast enemies in a chance to get a buff that may be useful for bosses or PvP. There is a sense of rarity to 100% blood of any type which is really nice. It adds an element of excitement and urgency when you do find it. Do you take it or do make it a prisoner? All of these components blend very well with the rest of the game, adding another seamless level of complexity to the game.

Boss design: 

I would say the boss design overall is great. There are lots of bosses that each test different aspects of your skill. With most bosses feeling absolutely unique and engaging. The environments that the bosses are in are often times quite interesting within themselves, and they allow the player to utilize them to gain an advantage over the boss, which for the most part, is overlooked in games in my personal opinion. 

Some of the bosses do seem to have ads in excess, and for those of you that don't know what ads are, they are minions/trash mobs. It can sometimes feel like the quality of a good boss fight is hampered by the fact that you are being dealt a bad hand at the expense of a trash mob(s). Personally it felt as though a few bosses could use AI improvement at the same time see a cutback on their ad spawning. 

One of the glaring issues with bosses, especially on increased difficulty mods, is the reliance on soloing bosses. Most bosses are designed for a solo, at most duo encounter. Beyond that, you are hampering your chances at successfully killing the boss immensely. For example, Nicholaus the Fallen is not feasible with more than 1 person due to the fact that the minion scaling, and HP scaling become completely absurd. This can take away from the enjoyment factor of playing with friends. And on competitive PvP servers almost guarantees that only 1 of your teammates is going to be doing the boss, which can be deemed boring.

World/Area Design:

I would give the map a solid score, too. I think overall the entire world immerses you quite well. There are tons of scenic vistas you'll be able to appreciate, in a world that was carefully curated, and designed with an emphasis on a good color palette, and enough gloom to make you feel like you're in a world run by vampires. The 4 zones (we'll exclude Gloomrot) all have really great differences, and are large enough for the player to explore for hours. Each bidding their own challenges. 

The material grind in each area can be relatively brutal, or easy depending on your sever settings. With a world filled with tons of unique items, everything has value, and I mean everything. One of my favorite aspects of this game is the the fact that every item is important in some way or another, so material grinding never feels pointless. Which in turn, raises the enjoyment factor. It's like getting shot with tiny bits of dopamine here and there as your playing, keeping you invested and interested the entire time. Which to me is an undervalued aspect of open-world games. Nothing feels worse than grinding for materials that ultimately don't matter down the line. 

I think the sheer size of the game is great, too. Each zone felt perfectly right in size, and never felt too bland or compact. The design plan was executed well and the picture is understood from the player's standpoint in terms of the geographical aspects.

Abilities/Weapons:

V Rising offers a large list of unique abilities that are interchangeable with one another, allowing the player to experiment with lots of different build ideas. This paired with other players playing alongside you, results in tons of combo potential and play-style potential in both the PvE and PvP environment. However, there are some things that should be mentioned.

A big issue with V Rising (pre-Gloomrot) is the obvious over-tuning of certain abilities. This results in what you'd expect. In a PvP setting especially, players opt to use the most powerful builds to maximize efficiency and their chance of winning. While that is natural, the game really only has a few notable builds, making the PvP combat feel incredibly stale after only a few sessions. This is less evident in PvE, so if you're not interested in PvP, you will likely not feel the effects of this.

The weapons in V Rising can best be described as simple. This is in no regard an insult, as the simplicity paired with the other factors of combat result in its seamless depth. With weapons having no more than 2 abilities, it allows for non-experienced and experienced players alike to enjoy and the learn the weapons without feeling overwhelmed. The abilities themselves are cool and unique as well. All of which fair well in both PvP and PvE environments. Each weapon really feels like it has value, and the added bonus of being able to seamlessly swap between them adds incredible depth without sacrificing simplicity. Again, add the fact that you will have friends with you, and then add spells, and you have a really nice blend for combat.",1684295972,1684304990,True,4,0,0.565217375755310059,2,True,False,True,True,
